,Game,Attendance,Total_goals,goals_diff,Game_Class,League
0,ADO Den Haag vs AZ Alkmaar,12125.333333333334,3,1,Competitive_Game,D
1,ADO Den Haag vs Ajax,14013.833333333334,2,1,Closed_Game,D
2,ADO Den Haag vs Cambuur,10181.5,3,1,Competitive_Game,D
3,ADO Den Haag vs De Graafschap,10808.5,3,0,Competitive_Game,D
4,ADO Den Haag vs Dordrecht,11023.0,2,2,Competitive_Game,D
5,ADO Den Haag vs Emmen,11324.0,1,0,Closed_Game,D
6,ADO Den Haag vs Excelsior,12053.4,4,1,Competitive_Open_Game,D
7,ADO Den Haag vs Feyenoord,13304.0,2,0,Closed_Game,D
8,ADO Den Haag vs Fortuna Sittard,6269.5,3,2,Competitive_Game,D
9,ADO Den Haag vs Go Ahead Eag,10267.5,3,1,Competitive_Game,D
10,ADO Den Haag vs Groningen,9975.857142857143,2,1,Closed_Game,D
11,ADO Den Haag vs Heerenveen,11302.0,2,0,Closed_Game,D
12,ADO Den Haag vs Heracles Almelo,10982.833333333334,2,1,Closed_Game,D
13,ADO Den Haag vs NAC Breda,12310.333333333334,2,1,Closed_Game,D
14,ADO Den Haag vs NEC Nijmegen,10520.0,1,1,Closed_Game,D
15,ADO Den Haag vs PSV Eindhoven,13846.0,4,2,Competitive_Open_Game,D
16,ADO Den Haag vs RKC Waalwijk,12433.0,2,0,Closed_Game,D
17,ADO Den Haag vs Roda JC,10746.666666666666,4,1,Competitive_Open_Game,D
18,ADO Den Haag vs Sparta R'dam,11603.666666666666,1,0,Closed_Game,D
19,ADO Den Haag vs Twente,12611.2,3,1,Competitive_Game,D
20,ADO Den Haag vs Utrecht,11190.0,3,2,Competitive_Game,D
21,ADO Den Haag vs VVV-Venlo,10602.0,3,1,Competitive_Game,D
22,ADO Den Haag vs Vitesse,12662.0,2,1,Closed_Game,D
23,ADO Den Haag vs Willem II,11478.166666666666,4,1,Competitive_Open_Game,D
24,ADO Den Haag vs Zwolle,11633.8,2,1,Closed_Game,D
25,AZ Alkmaar vs ADO Den Haag,14613.833333333334,3,2,Competitive_Game,D
26,AZ Alkmaar vs Ajax,16726.166666666668,3,1,Competitive_Game,D
27,AZ Alkmaar vs Cambuur,14826.5,2,1,Closed_Game,D
28,AZ Alkmaar vs De Graafschap,14999.5,3,2,Competitive_Game,D
29,AZ Alkmaar vs Dordrecht,14714.0,2,2,Competitive_Game,D
30,AZ Alkmaar vs Emmen,10664.0,3,3,One_Side_Game,D
31,AZ Alkmaar vs Excelsior,14220.6,2,1,Closed_Game,D
32,AZ Alkmaar vs Feyenoord,15037.0,3,2,Competitive_Game,D
33,AZ Alkmaar vs Fortuna Sittard,14000.0,3,2,Competitive_Game,D
34,AZ Alkmaar vs Go Ahead Eag,14191.333333333334,3,2,Competitive_Game,D
35,AZ Alkmaar vs Groningen,14685.57142857143,2,1,Closed_Game,D
36,AZ Alkmaar vs Heerenveen,14081.833333333334,4,1,Competitive_Open_Game,D
37,AZ Alkmaar vs Heracles Almelo,12999.333333333334,4,2,Competitive_Open_Game,D
38,AZ Alkmaar vs NAC Breda,14178.333333333334,2,1,Closed_Game,D
39,AZ Alkmaar vs NEC Nijmegen,14483.5,3,1,Competitive_Game,D
40,AZ Alkmaar vs PSV Eindhoven,16205.833333333334,4,1,Competitive_Open_Game,D
41,AZ Alkmaar vs RKC Waalwijk,14712.0,3,2,Competitive_Game,D
42,AZ Alkmaar vs Roda JC,14577.666666666666,2,1,Closed_Game,D
43,AZ Alkmaar vs Sparta R'dam,13040.333333333334,3,1,Competitive_Game,D
44,AZ Alkmaar vs Twente,12752.2,3,1,Competitive_Game,D
45,AZ Alkmaar vs Utrecht,14915.0,3,2,Competitive_Game,D
46,AZ Alkmaar vs VVV-Venlo,11394.0,2,1,Closed_Game,D
47,AZ Alkmaar vs Vitesse,15341.4,3,1,Competitive_Game,D
48,AZ Alkmaar vs Willem II,14842.166666666666,3,1,Competitive_Game,D
49,AZ Alkmaar vs Zwolle,14062.0,3,1,Competitive_Game,D
50,Abha vs Al-Adalah,1972.0,4,0,Competitive_Open_Game,SPL
51,Abha vs Al-Ahli,2822.0,2,1,Closed_Game,SPL
52,Abha vs Al-Ain,13.0,1,1,Closed_Game,SPL
53,Abha vs Al-Batin,220.0,2,1,Closed_Game,SPL
54,Abha vs Al-Ettifaq,2978.0,2,0,Closed_Game,SPL
55,Abha vs Al-Faisaly,50.0,1,1,Closed_Game,SPL
56,Abha vs Al-Fateh,626.5,3,1,Competitive_Game,SPL
57,Abha vs Al-Fayha,,2,0,Closed_Game,SPL
58,Abha vs Al-Hazem,149.5,2,1,Closed_Game,SPL
59,Abha vs Al-Hilal,6151.5,2,0,Closed_Game,SPL
60,Abha vs Al-Ittihad,1117.0,3,2,Competitive_Game,SPL
61,Abha vs Al-Nassr,3114.5,3,1,Competitive_Game,SPL
62,Abha vs Al-Qadsiah,50.0,4,0,Competitive_Open_Game,SPL
63,Abha vs Al-Raed,457.0,2,1,Closed_Game,SPL
64,Abha vs Al-Shabab,1159.0,3,1,Competitive_Game,SPL
65,Abha vs Al-Taawoun,40.0,1,0,Closed_Game,SPL
66,Abha vs Al-Wehda,46.0,3,2,Competitive_Game,SPL
67,Abha vs Damac,1624.5,5,1,Competitive_Open_Game,SPL
68,Académica vs Arouca,2949.5,1,0,Closed_Game,P
69,Académica vs Beira-Mar,,2,1,Closed_Game,P
70,Académica vs Belenenses,3671.5,4,0,Competitive_Open_Game,P
71,Académica vs Benfica,17522.0,2,1,Closed_Game,P
72,Académica vs Boavista,2935.5,1,1,Closed_Game,P
73,Académica vs Braga,4080.5,1,0,Closed_Game,P
74,Académica vs Estoril,4708.0,2,1,Closed_Game,P
75,Académica vs Feirense,,4,4,One_Side_Game,P
76,Académica vs Gil Vicente,2000.0,2,1,Closed_Game,P
