Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2013-08-02,,Ajax,3–0,Roda JC,,Amsterdam ArenA,Danny Makkelie,Match Report,
1,Sat,2013-08-03,,ADO Den Haag,2–3,PSV Eindhoven,,Kyocera Stadium,Bas Nijhuis,Match Report,
1,Sat,2013-08-03,,Twente,0–0,RKC Waalwijk,,De Grolsch Veste,Dennis Higler,Match Report,
1,Sat,2013-08-03,,Heerenveen,4–2,AZ Alkmaar,,Abe Lenstra stadion,Pol van Boekel,Match Report,
1,Sat,2013-08-03,,NEC Nijmegen,1–4,Groningen,,Goffertstadion,Eric Braamhaar,Match Report,
1,Sun,2013-08-04,,Utrecht,1–1,Go Ahead Eag,,Galgenwaard,Jochem Kamphuis,Match Report,
1,Sun,2013-08-04,,Zwolle,2–1,Feyenoord,,IJsseldelta Stadion,Serdar Gözübüyük,Match Report,
1,Sun,2013-08-04,,Vitesse,3–1,Heracles Almelo,,GelreDome,Pieter Vink,Match Report,
1,Sun,2013-08-04,,Cambuur,0–0,NAC Breda,,Cambuurstadion,Tom van Sichem,Match Report,
2,Fri,2013-08-09,,Roda JC,2–0,Cambuur,,Parkstad Limburg Stadion,Kevin Blom,Match Report,
2,Sat,2013-08-10,,NAC Breda,0–2,Heerenveen,,Rat Verlegh Stadion,Eric Braamhaar,Match Report,
2,Sat,2013-08-10,,Heracles Almelo,1–3,Zwolle,,Polman Stadion,Ed Janssen,Match Report,
2,Sat,2013-08-10,,PSV Eindhoven,5–0,NEC Nijmegen,,Philips Stadion,Björn Kuipers,Match Report,
2,Sat,2013-08-10,,Go Ahead Eag,2–1,ADO Den Haag,,De Adelaarshorst,Pol van Boekel,Match Report,
2,Sun,2013-08-11,,Groningen,2–0,Utrecht,,Euroborg,Dennis Higler,Match Report,
2,Sun,2013-08-11,,Feyenoord,1–4,Twente,,De Kuip,Richard Liesveld,Match Report,
2,Sun,2013-08-11,,AZ Alkmaar,3–2,Ajax,,AFAS Stadion,Bas Nijhuis,Match Report,
2,Sun,2013-08-11,,RKC Waalwijk,4–2,Vitesse,,Mandemakers Stadion,Reinold Wiedemeijer,Match Report,
3,Sat,2013-08-17,,NEC Nijmegen,1–5,Zwolle,,Goffertstadion,Pieter Vink,Match Report,
3,Sat,2013-08-17,,Cambuur,4–1,Groningen,,Cambuurstadion,Bas Nijhuis,Match Report,
3,Sat,2013-08-17,,Roda JC,1–1,Vitesse,,Parkstad Limburg Stadion,Ed Janssen,Match Report,
3,Sat,2013-08-17,,PSV Eindhoven,3–0,Go Ahead Eag,,Philips Stadion,Kevin Blom,Match Report,
3,Sat,2013-08-17,,RKC Waalwijk,1–2,AZ Alkmaar,,Mandemakers Stadion,Danny Makkelie,Match Report,
3,Sun,2013-08-18,,Twente,6–0,Utrecht,,De Grolsch Veste,Pol van Boekel,Match Report,
3,Sun,2013-08-18,,NAC Breda,1–2,ADO Den Haag,,Rat Verlegh Stadion,Serdar Gözübüyük,Match Report,
3,Sun,2013-08-18,,Heerenveen,2–4,Heracles Almelo,,Abe Lenstra stadion,Jeroen Sanders,Match Report,
