Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2014-08-08,20:00 (21:00),Zwolle,2–0,Utrecht,12050,MAC³PARK Stadion,Eric Braamhaar,Match Report,
Regular Season,1,Sat,2014-08-09,18:30 (19:30),Heerenveen,1–2,Dordrecht,22900,Abe Lenstra Stadion,Reinold Wiedemeijer,Match Report,
Regular Season,1,Sat,2014-08-09,19:45 (20:45),Cambuur,1–1,Twente,9669,Cambuurstadion,Ed Janssen,Match Report,
Regular Season,1,Sat,2014-08-09,19:45 (20:45),NAC Breda,1–1,Excelsior,18100,Rat Verlegh Stadion,Jeroen Sanders,Match Report,
Regular Season,1,Sat,2014-08-09,20:45 (21:45),Heracles Almelo,0–3,AZ Alkmaar,8315,Polman Stadion,Dennis Higler,Match Report,
Regular Season,1,Sun,2014-08-10,12:30 (13:30),ADO Den Haag,0–1,Feyenoord,11716,Cars Jeans Stadion,Danny Makkelie,Match Report,
Regular Season,1,Sun,2014-08-10,14:30 (15:30),Go Ahead Eag,2–3,Groningen,7934,De Adelaarshorst,Björn Kuipers,Match Report,
Regular Season,1,Sun,2014-08-10,14:30 (15:30),Ajax,4–1,Vitesse,48494,Johan Cruyff ArenA,Pol van Boekel,Match Report,
Regular Season,1,Sun,2014-08-10,16:45 (17:45),Willem II,1–3,PSV Eindhoven,11200,Koning Willem II Stadion,Kevin Blom,Match Report,
Regular Season,2,Fri,2014-08-15,20:00 (21:00),Feyenoord,1–1,Heerenveen,42500,Stadion Feijenoord,Richard Liesveld,Match Report,
Regular Season,2,Sat,2014-08-16,18:30 (19:30),PSV Eindhoven,6–1,NAC Breda,30600,Philips Stadion,Bas Nijhuis,Match Report,
Regular Season,2,Sat,2014-08-16,19:45 (20:45),Twente,2–2,ADO Den Haag,28500,De Grolsch Veste,Reinold Wiedemeijer,Match Report,
Regular Season,2,Sat,2014-08-16,19:45 (20:45),Dordrecht,1–2,Zwolle,3642,Riwal Hoogwerkers Stadion,Jochem Kamphuis,Match Report,
Regular Season,2,Sat,2014-08-16,20:45 (21:45),Vitesse,2–2,Cambuur,13597,GelreDome,Eric Braamhaar,Match Report,
Regular Season,2,Sun,2014-08-17,12:30 (13:30),AZ Alkmaar,1–3,Ajax,16011,AFAS Stadion,Kevin Blom,Match Report,
Regular Season,2,Sun,2014-08-17,14:30 (15:30),Utrecht,2–1,Willem II,16123,Stadion Galgenwaard,Björn Kuipers,Match Report,
Regular Season,2,Sun,2014-08-17,14:30 (15:30),Excelsior,3–2,Go Ahead Eag,3213,Van Donge & De Roo Stadion,Jeroen Manschot,Match Report,
Regular Season,2,Sun,2014-08-17,16:45 (17:45),Groningen,3–1,Heracles Almelo,19324,Hitachi Capital Mobility Stadion,Ed Janssen,Match Report,
Regular Season,3,Fri,2014-08-22,20:00 (21:00),Heracles Almelo,0–1,Cambuur,8203,Polman Stadion,Tom van Sichem,Match Report,
Regular Season,3,Sat,2014-08-23,18:30 (19:30),Willem II,3–0,AZ Alkmaar,9500,Koning Willem II Stadion,Jochem Kamphuis,Match Report,
Regular Season,3,Sat,2014-08-23,19:45 (20:45),Heerenveen,2–0,Excelsior,23300,Abe Lenstra Stadion,Edwin van de Graaf,Match Report,
Regular Season,3,Sat,2014-08-23,20:45 (21:45),Go Ahead Eag,0–0,Dordrecht,7778,De Adelaarshorst,Eric Braamhaar,Match Report,
Regular Season,3,Sun,2014-08-24,12:30 (13:30),Zwolle,2–1,Vitesse,12012,MAC³PARK Stadion,Dennis Higler,Match Report,
Regular Season,3,Sun,2014-08-24,14:30 (15:30),ADO Den Haag,3–0,Groningen,10214,Cars Jeans Stadion,Richard Liesveld,Match Report,
Regular Season,3,Sun,2014-08-24,14:30 (15:30),Feyenoord,1–2,Utrecht,42500,Stadion Feijenoord,Kevin Blom,Match Report,
Regular Season,3,Sun,2014-08-24,14:30 (15:30),NAC Breda,1–1,Twente,12500,Rat Verlegh Stadion,Danny Makkelie,Match Report,
Regular Season,3,Sun,2014-08-24,16:45 (17:45),Ajax,1–3,PSV Eindhoven,51513,Johan Cruyff ArenA,Björn Kuipers,Match Report,
Regular Season,4,Fri,2014-08-29,20:00 (21:00),Go Ahead Eag,1–0,Willem II,7883,De Adelaarshorst,Reinold Wiedemeijer,Match Report,
Regular Season,4,Sat,2014-08-30,18:30 (19:30),Cambuur,3–2,ADO Den Haag,9279,Cambuurstadion,Martin van den Kerkhof,Match Report,
Regular Season,4,Sat,2014-08-30,19:45 (20:45),Excelsior,3–1,Heracles Almelo,3149,Van Donge & De Roo Stadion,Jochem Kamphuis,Match Report,
Regular Season,4,Sat,2014-08-30,19:45 (20:45),Dordrecht,1–3,AZ Alkmaar,4235,Riwal Hoogwerkers Stadion,Ed Janssen,Match Report,
Regular Season,4,Sat,2014-08-30,20:45 (21:45),Heerenveen,3–1,Utrecht,22900,Abe Lenstra Stadion,Dennis Higler,Match Report,
Regular Season,4,Sun,2014-08-31,12:30 (13:30),PSV Eindhoven,2–0,Vitesse,32000,Philips Stadion,Kevin Blom,Match Report,
Regular Season,4,Sun,2014-08-31,14:30 (15:30),Groningen,2–0,Ajax,21740,Hitachi Capital Mobility Stadion,Bas Nijhuis,Match Report,
Regular Season,4,Sun,2014-08-31,14:30 (15:30),NAC Breda,3–1,Zwolle,18200,Rat Verlegh Stadion,Tom van Sichem,Match Report,
Regular Season,4,Sun,2014-08-31,16:45 (17:45),Twente,0–0,Feyenoord,28900,De Grolsch Veste,Richard Liesveld,Match Report,
Regular Season,5,Sat,2014-09-13,18:30 (19:30),Ajax,2–1,Heracles Almelo,47408,Johan Cruyff ArenA,Richard Liesveld,Match Report,
Regular Season,5,Sat,2014-09-13,18:30 (19:30),Twente,2–1,Go Ahead Eag,27500,De Grolsch Veste,Tom van Sichem,Match Report,
Regular Season,5,Sat,2014-09-13,19:45 (20:45),AZ Alkmaar,0–1,Heerenveen,15398,AFAS Stadion,Bas Nijhuis,Match Report,
Regular Season,5,Sat,2014-09-13,20:45 (21:45),Zwolle,3–1,PSV Eindhoven,12347,MAC³PARK Stadion,Danny Makkelie,Match Report,
Regular Season,5,Sat,2014-09-13,20:45 (21:45),Feyenoord,1–2,Willem II,43627,Stadion Feijenoord,Eric Braamhaar,Match Report,
Regular Season,5,Sun,2014-09-14,12:30 (13:30),Utrecht,0–0,ADO Den Haag,17400,Stadion Galgenwaard,Serdar Gözübüyük,Match Report,
Regular Season,5,Sun,2014-09-14,14:30 (15:30),Cambuur,3–0,Groningen,9600,Cambuurstadion,Björn Kuipers,Match Report,
Regular Season,5,Sun,2014-09-14,14:30 (15:30),Vitesse,3–1,Excelsior,14234,GelreDome,Jeroen Sanders,Match Report,
Regular Season,5,Sun,2014-09-14,16:45 (17:45),Dordrecht,0–1,NAC Breda,3982,Riwal Hoogwerkers Stadion,Dennis Higler,Match Report,
Regular Season,6,Fri,2014-09-19,20:00 (21:00),Willem II,2–1,NAC Breda,13602,Koning Willem II Stadion,Richard Liesveld,Match Report,
Regular Season,6,Sat,2014-09-20,18:30 (19:30),Excelsior,1–1,Dordrecht,3541,Van Donge & De Roo Stadion,Pieter Vink,Match Report,
Regular Season,6,Sat,2014-09-20,19:45 (20:45),ADO Den Haag,1–1,Go Ahead Eag,10367,Cars Jeans Stadion,Edwin van de Graaf,Match Report,
Regular Season,6,Sat,2014-09-20,20:45 (21:45),Vitesse,1–1,Heerenveen,15213,GelreDome,Danny Makkelie,Match Report,
Regular Season,6,Sun,2014-09-21,12:30 (13:30),Heracles Almelo,1–4,Twente,8422,Polman Stadion,Serdar Gözübüyük,Match Report,
Regular Season,6,Sun,2014-09-21,14:30 (15:30),AZ Alkmaar,1–0,Zwolle,14748,AFAS Stadion,Björn Kuipers,Match Report,
Regular Season,6,Sun,2014-09-21,14:30 (15:30),Feyenoord,0–1,Ajax,47000,Stadion Feijenoord,Kevin Blom,Match Report,
Regular Season,6,Sun,2014-09-21,14:30 (15:30),PSV Eindhoven,4–0,Cambuur,30200,Philips Stadion,Reinold Wiedemeijer,Match Report,
Regular Season,6,Sun,2014-09-21,16:45 (17:45),Utrecht,1–0,Groningen,14503,Stadion Galgenwaard,Ed Janssen,Match Report,
Regular Season,7,Sat,2014-09-27,18:30 (19:30),Dordrecht,2–6,Vitesse,3862,Riwal Hoogwerkers Stadion,Serdar Gözübüyük,Match Report,
Regular Season,7,Sat,2014-09-27,18:30 (19:30),NAC Breda,2–5,Ajax,18900,Rat Verlegh Stadion,Reinold Wiedemeijer,Match Report,
Regular Season,7,Sat,2014-09-27,19:45 (20:45),Zwolle,4–2,Heracles Almelo,12350,MAC³PARK Stadion,Jeroen Manschot,Match Report,
Regular Season,7,Sat,2014-09-27,20:45 (21:45),Go Ahead Eag,0–4,Feyenoord,7978,De Adelaarshorst,Björn Kuipers,Match Report,
Regular Season,7,Sat,2014-09-27,20:45 (21:45),ADO Den Haag,2–3,AZ Alkmaar,10678,Cars Jeans Stadion,Tom van Sichem,Match Report,
Regular Season,7,Sun,2014-09-28,12:30 (13:30),Excelsior,1–1,Cambuur,3227,Van Donge & De Roo Stadion,Dennis Higler,Match Report,
Regular Season,7,Sun,2014-09-28,14:30 (15:30),Groningen,1–0,Willem II,18811,Hitachi Capital Mobility Stadion,Bas Nijhuis,Match Report,
Regular Season,7,Sun,2014-09-28,14:30 (15:30),Twente,3–1,Utrecht,27500,De Grolsch Veste,Danny Makkelie,Match Report,
Regular Season,7,Sun,2014-09-28,16:45 (17:45),Heerenveen,1–0,PSV Eindhoven,25632,Abe Lenstra Stadion,Kevin Blom,Match Report,
Regular Season,8,Fri,2014-10-03,20:00 (21:00),Vitesse,6–1,ADO Den Haag,13231,GelreDome,Björn Kuipers,Match Report,
Regular Season,8,Sat,2014-10-04,18:30 (19:30),Heracles Almelo,6–1,NAC Breda,8176,Polman Stadion,Ed Janssen,Match Report,
