Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2011-08-06,,Nice,1–3,Lyon,,Allianz Riviera,Stéphane Lannoy,Match Report,
1,Sat,2011-08-06,,Paris S-G,0–1,Lorient,,Parc des Princes,Wilfried Bien,Match Report,
1,Sat,2011-08-06,,Brest,2–2,Evian,,Stade Francis,Benoît Bastien,Match Report,
1,Sat,2011-08-06,,Marseille,2–2,Sochaux,,Stade Vélodrome,Alexandre Castro,Match Report,
1,Sat,2011-08-06,,Ajaccio,0–2,Toulouse,,Stade François Coty,Sébastien Moreira,Match Report,
1,Sat,2011-08-06,,Caen,1–0,Valenciennes,,Stade Michel d'Ornano,Sébastien Desiage,Match Report,
1,Sat,2011-08-06,,Montpellier,3–1,Auxerre,,Stade de la Mosson et du Mondial 98,Laurent Duhamel,Match Report,
1,Sat,2011-08-06,,Nancy,1–1,Lille,,Stade Marcel Picot,Philippe Kalt,Match Report,
1,Sun,2011-08-07,,Bordeaux,1–2,Saint-Étienne,,Stade Chaban,Nicolas Rainville,Match Report,
1,Sun,2011-08-07,,Dijon,1–5,Rennes,,Stade Gaston Gérard,Fredy Fautrel,Match Report,
2,Sat,2011-08-13,,Toulouse,2–0,Dijon,,Stadium,Antony Gautier,Match Report,
2,Sat,2011-08-13,,Lyon,1–1,Ajaccio,,Stade Municipal de Gerland,Hervé Piccirillo,Match Report,
2,Sat,2011-08-13,,Saint-Étienne,1–0,Nancy,,Stade Geoffroy,Fredy Fautrel,Match Report,
2,Sat,2011-08-13,,Sochaux,1–2,Caen,,Stade Bonal,Benoît Millot,Match Report,
2,Sat,2011-08-13,,Rennes,1–1,Paris S-G,,ROAZHON PARK,Pascal Viléo,Match Report,
2,Sat,2011-08-13,,Lorient,1–1,Bordeaux,,Stade Yves Allainmat,Philippe Malige,Match Report,
2,Sat,2011-08-13,,Valenciennes,0–0,Brest,,Stade du Hainaut,Clément Turpin,Match Report,
2,Sun,2011-08-14,,Lille,0–1,Montpellier,,Stadium Lille Métropole,Ruddy Buquet,Match Report,
2,Sun,2011-08-14,,Evian,1–0,Nice,,Parc des Sports d’Annecy,Bartolomeu Varela,Match Report,
2,Sun,2011-08-14,,Auxerre,2–2,Marseille,,Stade Abbé Deschamps,Lionel Jaffredo,Match Report,
3,Sat,2011-08-20,,Bordeaux,1–1,Auxerre,,Stade Chaban,Wilfried Bien,Match Report,
3,Sat,2011-08-20,,Dijon,2–0,Lorient,,Stade Gaston Gérard,Nicolas Rainville,Match Report,
3,Sat,2011-08-20,,Ajaccio,1–1,Evian,,Stade François Coty,Saïd Ennjimi,Match Report,
3,Sat,2011-08-20,,Caen,1–2,Lille,,Stade Michel d'Ornano,Sébastien Moreira,Match Report,
3,Sat,2011-08-20,,Nice,1–1,Toulouse,,Allianz Riviera,Laurent Duhamel,Match Report,
3,Sat,2011-08-20,,Brest,1–1,Lyon,,Stade Francis,Fredy Fautrel,Match Report,
3,Sun,2011-08-21,,Nancy,1–2,Sochaux,,Stade Marcel Picot,Stéphane Lannoy,Match Report,
3,Sun,2011-08-21,,Marseille,0–0,Saint-Étienne,,Stade Vélodrome,Philippe Kalt,Match Report,
3,Sun,2011-08-21,,Paris S-G,2–1,Valenciennes,,Parc des Princes,Olivier Thual,Match Report,
3,Sun,2011-08-21,,Montpellier,4–0,Rennes,,Stade de la Mosson et du Mondial 98,Alexandre Castro,Match Report,
4,Sat,2011-08-27,,Evian,0–1,Dijon,,Parc des Sports d’Annecy,Benoît Millot,Match Report,
4,Sat,2011-08-27,,Lyon,2–1,Montpellier,,Stade Municipal de Gerland,Antony Gautier,Match Report,
4,Sat,2011-08-27,,Auxerre,4–1,Ajaccio,,Stade Abbé Deschamps,Ruddy Buquet,Match Report,
4,Sat,2011-08-27,,Valenciennes,1–2,Bordeaux,,Stade du Hainaut,Hervé Piccirillo,Match Report,
4,Sat,2011-08-27,,Nice,0–0,Brest,,Allianz Riviera,Pascal Viléo,Match Report,
4,Sat,2011-08-27,,Lorient,2–1,Nancy,,Stade Yves Allainmat,Sébastien Desiage,Match Report,
4,Sun,2011-08-28,,Lille,3–2,Marseille,,Stadium Lille Métropole,Clément Turpin,Match Report,
4,Sun,2011-08-28,,Sochaux,2–1,Saint-Étienne,,Stade Bonal,Bartolomeu Varela,Match Report,
4,Sun,2011-08-28,,Toulouse,1–3,Paris S-G,,Stadium,Lionel Jaffredo,Match Report,
4,Sun,2011-08-28,,Rennes,3–2,Caen,,ROAZHON PARK,Philippe Malige,Match Report,
5,Sat,2011-09-10,,Marseille,0–1,Rennes,,Stade Vélodrome,Ruddy Buquet,Match Report,
