Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2011-08-05,,Dortmund,3–1,Hamburger SV,,,Felix Brych,Match Report,
1,Sat,2011-08-06,,Werder Bremen,2–0,Kaiserslautern,,,Günter Perl,Match Report,
1,Sat,2011-08-06,,Augsburg,2–2,Freiburg,,,Jochen Drees,Match Report,
1,Sat,2011-08-06,,Stuttgart,3–0,Schalke 04,,,Wolfgang Stark,Match Report,
1,Sat,2011-08-06,,Hannover 96,2–1,Hoffenheim,,,Thorsten Kinhöfer,Match Report,
1,Sat,2011-08-06,,Köln,0–3,Wolfsburg,,,Manuel Gräfe,Match Report,
1,Sat,2011-08-06,,Hertha BSC,0–1,Nürnberg,,,Peter Gagelmann,Match Report,
1,Sun,2011-08-07,,Bayern Munich,0–1,M'Gladbach,,,Babak Rafati,Match Report,
1,Sun,2011-08-07,,Mainz 05,2–0,Leverkusen,,,Michael Weiner,Match Report,
2,Sat,2011-08-13,,Freiburg,1–2,Mainz 05,,,Thorsten Kinhöfer,Match Report,
2,Sat,2011-08-13,,Schalke 04,5–1,Köln,,,Guido Winkmann,Match Report,
2,Sat,2011-08-13,,Hamburger SV,2–2,Hertha BSC,,,Wolfgang Stark,Match Report,
2,Sat,2011-08-13,,Nürnberg,1–2,Hannover 96,,,Marco Fritz,Match Report,
2,Sat,2011-08-13,,Wolfsburg,0–1,Bayern Munich,,,Knut Kircher,Match Report,
2,Sat,2011-08-13,,Hoffenheim,1–0,Dortmund,,,Deniz Aytekin,Match Report,
2,Sat,2011-08-13,,M'Gladbach,1–1,Stuttgart,,,Manuel Gräfe,Match Report,
2,Sun,2011-08-14,,Kaiserslautern,1–1,Augsburg,,,Tobias Welz,Match Report,
2,Sun,2011-08-14,,Leverkusen,1–0,Werder Bremen,,,Felix Brych,Match Report,
3,Fri,2011-08-19,,M'Gladbach,4–1,Wolfsburg,,,Markus Schmidt,Match Report,
3,Sat,2011-08-20,,Werder Bremen,5–3,Freiburg,,,Peter Sippel,Match Report,
3,Sat,2011-08-20,,Dortmund,2–0,Nürnberg,,,Felix Zwayer,Match Report,
3,Sat,2011-08-20,,Köln,1–1,Kaiserslautern,,,Knut Kircher,Match Report,
3,Sat,2011-08-20,,Stuttgart,0–1,Leverkusen,,,Peter Gagelmann,Match Report,
3,Sat,2011-08-20,,Bayern Munich,5–0,Hamburger SV,,,Michael Weiner,Match Report,
3,Sat,2011-08-20,,Augsburg,0–2,Hoffenheim,,,Markus Wingenbach,Match Report,
3,Sun,2011-08-21,,Hannover 96,1–1,Hertha BSC,,,Robert Hartmann,Match Report,
3,Sun,2011-08-21,,Mainz 05,2–4,Schalke 04,,,Günter Perl,Match Report,
4,Fri,2011-08-26,,Hertha BSC,1–0,Stuttgart,,,Jochen Drees,Match Report,
