Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2021-08-13,20:30 (21:30),M'Gladbach,2.0,1–1,2.6,Bayern Munich,22925,Stadion im Borussia-Park,Marco Fritz,Match Report,
1,Sat,2021-08-14,15:30 (16:30),Augsburg,0.6,0–4,3.4,Hoffenheim,9124,WWK Arena,Felix Brych,Match Report,
1,Sat,2021-08-14,15:30 (16:30),Union Berlin,0.5,1–1,0.7,Leverkusen,11000,Stadion An der Alten Försterei,Tobias Reichel,Match Report,
1,Sat,2021-08-14,15:30 (16:30),Wolfsburg,3.0,1–0,0.4,Bochum,8536,Volkswagen Arena,Frank Willenborg,Match Report,
1,Sat,2021-08-14,15:30 (16:30),Arminia,0.9,0–0,1.4,Freiburg,13750,SchücoArena,Sven Jablonski,Match Report,
1,Sat,2021-08-14,15:30 (16:30),Stuttgart,4.0,5–1,0.8,Greuther Fürth,18109,Mercedes-Benz Arena,Felix Zwayer,Match Report,
1,Sat,2021-08-14,18:30 (19:30),Dortmund,2.5,5–2,1.8,Eint Frankfurt,25000,Signal Iduna Park,Tobias Stieler,Match Report,
1,Sun,2021-08-15,15:30 (16:30),Mainz 05,1.1,1–0,1.1,RB Leipzig,10500,Opel Arena,Daniel Siebert,Match Report,
1,Sun,2021-08-15,17:30 (18:30),Köln,1.7,3–1,1.9,Hertha BSC,16500,RheinEnergieSTADION,Robert Hartmann,Match Report,
2,Fri,2021-08-20,20:30 (21:30),RB Leipzig,3.5,4–0,1.1,Stuttgart,23100,Red Bull Arena,Florian Badstübner,Match Report,
2,Sat,2021-08-21,15:30 (16:30),Greuther Fürth,2.3,1–1,0.6,Arminia,5890,Sportpark Ronhof Thomas Sommer,Daniel Schlager,Match Report,
2,Sat,2021-08-21,15:30 (16:30),Hertha BSC,1.3,1–2,1.4,Wolfsburg,18241,Olympiastadion Berlin,Matthias Jöllenbeck,Match Report,
2,Sat,2021-08-21,15:30 (16:30),Bochum,0.7,2–0,0.8,Mainz 05,12548,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,
2,Sat,2021-08-21,15:30 (16:30),Eint Frankfurt,1.4,0–0,0.2,Augsburg,22000,Commerzbank-Arena,Harm Osmers,Match Report,
2,Sat,2021-08-21,15:30 (16:30),Freiburg,1.0,2–1,1.5,Dortmund,10100,Schwarzwald-Stadion,Robert Schröder,Match Report,
2,Sat,2021-08-21,18:30 (19:30),Leverkusen,2.0,4–0,1.7,M'Gladbach,15105,BayArena,Deniz Aytekin,Match Report,
2,Sun,2021-08-22,15:30 (16:30),Hoffenheim,0.9,2–2,1.6,Union Berlin,8014,PreZero Arena,Sascha Stegemann,Match Report,
2,Sun,2021-08-22,17:30 (18:30),Bayern Munich,2.6,3–2,0.8,Köln,20000,Allianz Arena,Martin Petersen,Match Report,
3,Fri,2021-08-27,20:30 (21:30),Dortmund,3.6,3–2,1.8,Hoffenheim,25000,Signal Iduna Park,Felix Zwayer,Match Report,
3,Sat,2021-08-28,15:30 (16:30),Stuttgart,1.5,2–3,1.2,Freiburg,25000,Mercedes-Benz Arena,Frank Willenborg,Match Report,
3,Sat,2021-08-28,15:30 (16:30),Köln,2.0,2–1,1.0,Bochum,25000,RheinEnergieSTADION,Benjamin Cortus,Match Report,
3,Sat,2021-08-28,15:30 (16:30),Augsburg,1.5,1–4,2.1,Leverkusen,10582,WWK Arena,Benjamin Brand,Match Report,
