Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2,Fri,2011-09-09,,Milan,2–2,Lazio,,,Gianluca Rocchi,Match Report,
2,Sat,2011-09-10,,Cesena,1–3,Napoli,,,Mauro Bergonzi,Match Report,
2,Sun,2011-09-11,,Palermo,4–3,Inter,,,Christian Brighi,Match Report,
2,Sun,2011-09-11,,Chievo,2–2,Novara,,,Sebastiano Peruzzo,Match Report,
2,Sun,2011-09-11,,Roma,1–2,Cagliari,,,Gabriele Gava,Match Report,
2,Sun,2011-09-11,,Lecce,0–2,Udinese,,,Antonio Damato,Match Report,
2,Sun,2011-09-11,,Genoa,2–2,Atalanta,,,Nicola Rizzoli,Match Report,
2,Sun,2011-09-11,,Fiorentina,2–0,Bologna,,,Marco Guida,Match Report,
2,Sun,2011-09-11,,Juventus,4–1,Parma,,,Domenico Celi,Match Report,
2,Sun,2011-09-11,,Catania,0–0,Siena,,,Luca Banti,Match Report,
3,Sat,2011-09-17,,Inter,0–0,Roma,,,Paolo Mazzoleni,Match Report,
3,Sat,2011-09-17,,Cagliari,2–1,Novara,,,Antonio Giannoccaro,Match Report,
3,Sun,2011-09-18,,Udinese,2–0,Fiorentina,,,Andrea Romeo,Match Report,
3,Sun,2011-09-18,,Parma,2–1,Chievo,,,Daniele Doveri,Match Report,
3,Sun,2011-09-18,,Lazio,1–2,Genoa,,,Daniele Orsato,Match Report,
3,Sun,2011-09-18,,Napoli,3–1,Milan,,,Paolo Tagliavento,Match Report,
3,Sun,2011-09-18,,Siena,0–1,Juventus,,,Paolo Valeri,Match Report,
3,Sun,2011-09-18,,Bologna,0–2,Lecce,,,Carmine Russo,Match Report,
3,Sun,2011-09-18,,Atalanta,1–0,Palermo,,,Andrea De Marco,Match Report,
3,Sun,2011-09-18,,Catania,1–0,Cesena,,,Andrea Gervasoni,Match Report,
4,Tue,2011-09-20,,Novara,3–1,Inter,,,Mauro Bergonzi,Match Report,
4,Wed,2011-09-21,,Genoa,3–0,Catania,,,Riccardo Tozzi,Match Report,
4,Wed,2011-09-21,,Chievo,1–0,Napoli,,,Antonio Damato,Match Report,
4,Wed,2011-09-21,,Cesena,1–2,Lazio,,,Domenico Celi,Match Report,
4,Wed,2011-09-21,,Lecce,1–2,Atalanta,,,Gianluca Rocchi,Match Report,
4,Wed,2011-09-21,,Fiorentina,3–0,Parma,,,Nicola Rizzoli,Match Report,
4,Wed,2011-09-21,,Palermo,3–2,Cagliari,,,Sebastiano Peruzzo,Match Report,
4,Wed,2011-09-21,,Milan,1–1,Udinese,,,Luca Banti,Match Report,
4,Wed,2011-09-21,,Juventus,1–1,Bologna,,,Gabriele Gava,Match Report,
4,Thu,2011-09-22,,Roma,1–1,Siena,,,Marco Guida,Match Report,
5,Sat,2011-09-24,,Napoli,0–0,Fiorentina,,,Paolo Valeri,Match Report,
5,Sat,2011-09-24,,Milan,1–0,Cesena,,,Antonio Giannoccaro,Match Report,
5,Sat,2011-09-24,,Bologna,1–3,Inter,,,Paolo Tagliavento,Match Report,
5,Sun,2011-09-25,,Siena,3–0,Lecce,,,Daniele Doveri,Match Report,
5,Sun,2011-09-25,,Chievo,2–1,Genoa,,,Carmine Russo,Match Report,
5,Sun,2011-09-25,,Parma,0–1,Roma,,,Daniele Orsato,Match Report,
5,Sun,2011-09-25,,Atalanta,2–1,Novara,,,Emilio Ostinelli,Match Report,
5,Sun,2011-09-25,,Cagliari,0–0,Udinese,,,Andrea De Marco,Match Report,
5,Sun,2011-09-25,,Catania,1–1,Juventus,,,Paolo Mazzoleni,Match Report,
5,Sun,2011-09-25,,Lazio,0–0,Palermo,,,Andrea Gervasoni,Match Report,
6,Sat,2011-10-01,,Roma,3–1,Atalanta,,,Domenico Celi,Match Report,
6,Sat,2011-10-01,,Inter,0–3,Napoli,,,Gianluca Rocchi,Match Report,
6,Sun,2011-10-02,,Juventus,2–0,Milan,,,Nicola Rizzoli,Match Report,
6,Sun,2011-10-02,,Palermo,2–0,Siena,,,Andrea Romeo,Match Report,
6,Sun,2011-10-02,,Novara,3–3,Catania,,,Christian Brighi,Match Report,
6,Sun,2011-10-02,,Fiorentina,1–2,Lazio,,,Mauro Bergonzi,Match Report,
6,Sun,2011-10-02,,Parma,3–1,Genoa,,,Antonio Damato,Match Report,
6,Sun,2011-10-02,,Cesena,0–0,Chievo,,,Luca Banti,Match Report,
6,Sun,2011-10-02,,Udinese,2–0,Bologna,,,Sebastiano Peruzzo,Match Report,
6,Sun,2011-10-02,,Lecce,0–2,Cagliari,,,Marco Guida,Match Report,
7,Sat,2011-10-15,,Milan,3–0,Palermo,,,Paolo Valeri,Match Report,
7,Sat,2011-10-15,,Napoli,1–2,Parma,,,Paolo Mazzoleni,Match Report,
7,Sat,2011-10-15,,Catania,2–1,Inter,,,Daniele Orsato,Match Report,
7,Sun,2011-10-16,,Atalanta,0–0,Udinese,,,Andrea Gervasoni,Match Report,
7,Sun,2011-10-16,,Genoa,0–0,Lecce,,,Gabriele Gava,Match Report,
7,Sun,2011-10-16,,Lazio,2–1,Roma,,,Paolo Tagliavento,Match Report,
7,Sun,2011-10-16,,Cagliari,0–0,Siena,,,Dino Tommasi,Match Report,
7,Sun,2011-10-16,,Cesena,0–0,Fiorentina,,,Carmine Russo,Match Report,
7,Sun,2011-10-16,,Chievo,0–0,Juventus,,,Andrea De Marco,Match Report,
7,Sun,2011-10-16,,Novara,0–2,Bologna,,,Daniele Doveri,Match Report,
8,Sat,2011-10-22,,Fiorentina,2–2,Catania,,,Antonio Giannoccaro,Match Report,
8,Sat,2011-10-22,,Juventus,2–2,Genoa,,,Andrea Romeo,Match Report,
8,Sun,2011-10-23,,Roma,1–0,Palermo,,,Mauro Bergonzi,Match Report,
8,Sun,2011-10-23,,Parma,1–2,Atalanta,,,Christian Brighi,Match Report,
8,Sun,2011-10-23,,Inter,1–0,Chievo,,,Domenico Celi,Match Report,
8,Sun,2011-10-23,,Bologna,0–2,Lazio,,,Antonio Damato,Match Report,
8,Sun,2011-10-23,,Siena,2–0,Cesena,,,Nicola Rizzoli,Match Report,
8,Sun,2011-10-23,,Lecce,3–4,Milan,,,Sebastiano Peruzzo,Match Report,
8,Sun,2011-10-23,,Udinese,3–0,Novara,,,Marco Guida,Match Report,
8,Sun,2011-10-23,,Cagliari,0–0,Napoli,,,Luca Banti,Match Report,
9,Tue,2011-10-25,,Juventus,2–1,Fiorentina,,,Daniele Orsato,Match Report,
9,Wed,2011-10-26,,Genoa,2–1,Roma,,,Andrea Gervasoni,Match Report,
9,Wed,2011-10-26,,Milan,4–1,Parma,,,Carmine Russo,Match Report,
9,Wed,2011-10-26,,Atalanta,1–1,Inter,,,Paolo Valeri,Match Report,
9,Wed,2011-10-26,,Novara,1–1,Siena,,,Paolo Tagliavento,Match Report,
9,Wed,2011-10-26,,Chievo,0–1,Bologna,,,Gianluca Rocchi,Match Report,
9,Wed,2011-10-26,,Lazio,1–1,Catania,,,Gabriele Gava,Match Report,
9,Wed,2011-10-26,,Napoli,2–0,Udinese,,,Andrea De Marco,Match Report,
9,Wed,2011-10-26,,Cesena,1–1,Cagliari,,,Daniele Doveri,Match Report,
9,Thu,2011-10-27,,Palermo,2–0,Lecce,,,Davide Massa,Match Report,
10,Sat,2011-10-29,,Catania,2–1,Napoli,,,Domenico Celi,Match Report,
10,Sat,2011-10-29,,Inter,1–2,Juventus,,,Nicola Rizzoli,Match Report,
10,Sat,2011-10-29,,Roma,2–3,Milan,,,Antonio Damato,Match Report,
10,Sun,2011-10-30,,Udinese,1–0,Palermo,,,Antonio Giannoccaro,Match Report,
10,Sun,2011-10-30,,Fiorentina,1–0,Genoa,,,Sebastiano Peruzzo,Match Report,
10,Sun,2011-10-30,,Bologna,3–1,Atalanta,,,Mauro Bergonzi,Match Report,
10,Sun,2011-10-30,,Siena,4–1,Chievo,,,Christian Brighi,Match Report,
10,Sun,2011-10-30,,Parma,2–0,Cesena,,,Marco Guida,Match Report,
10,Sun,2011-10-30,,Lecce,1–1,Novara,,,Andrea Romeo,Match Report,
10,Sun,2011-10-30,,Cagliari,0–3,Lazio,,,Paolo Mazzoleni,Match Report,
11,Sat,2011-11-05,,Novara,0–2,Roma,,,Gianluca Rocchi,Match Report,
11,Sat,2011-11-05,,Palermo,3–1,Bologna,,,Daniele Orsato,Match Report,
11,Sun,2011-11-06,,Milan,4–0,Catania,,,Andrea Gervasoni,Match Report,
11,Sun,2011-11-06,,Lazio,1–0,Parma,,,Andrea De Marco,Match Report,
11,Sun,2011-11-06,,Cesena,0–1,Lecce,,,Paolo Valeri,Match Report,
11,Sun,2011-11-06,,Atalanta,1–0,Cagliari,,,Piero Giacomelli,Match Report,
11,Sun,2011-11-06,,Udinese,2–1,Siena,,,Carmine Russo,Match Report,
11,Sun,2011-11-06,,Chievo,1–0,Fiorentina,,,Gabriele Gava,Match Report,
12,Sat,2011-11-19,,Inter,2–1,Cagliari,,,Antonio Damato,Match Report,
12,Sat,2011-11-19,,Napoli,0–0,Lazio,,,Nicola Rizzoli,Match Report,
12,Sat,2011-11-19,,Fiorentina,0–0,Milan,,,Paolo Mazzoleni,Match Report,
12,Sun,2011-11-20,,Genoa,1–0,Novara,,,Antonio Giannoccaro,Match Report,
12,Sun,2011-11-20,,Parma,2–0,Udinese,,,Andrea Romeo,Match Report,
12,Sun,2011-11-20,,Siena,2–2,Atalanta,,,Daniele Doveri,Match Report,
12,Sun,2011-11-20,,Roma,2–1,Lecce,,,Christian Brighi,Match Report,
12,Sun,2011-11-20,,Catania,1–2,Chievo,,,Paolo Tagliavento,Match Report,
12,Sun,2011-11-20,,Juventus,3–0,Palermo,,,Mauro Bergonzi,Match Report,
12,Sun,2011-11-20,,Bologna,0–1,Cesena,,,Domenico Celi,Match Report,
13,Fri,2011-11-25,,Udinese,2–0,Roma,,,Luca Banti,Match Report,
13,Sat,2011-11-26,,Lazio,0–1,Juventus,,,Gianluca Rocchi,Match Report,
13,Sat,2011-11-26,,Atalanta,1–1,Napoli,,,Daniele Orsato,Match Report,
13,Sat,2011-11-26,,Lecce,0–1,Catania,,,Sebastiano Peruzzo,Match Report,
13,Sat,2011-11-26,,Novara,2–1,Parma,,,Dino Tommasi,Match Report,
13,Sun,2011-11-27,,Cagliari,1–1,Bologna,,,Paolo Valeri,Match Report,
13,Sun,2011-11-27,,Palermo,2–0,Fiorentina,,,Carmine Russo,Match Report,
13,Sun,2011-11-27,,Milan,4–0,Chievo,,,Marco Guida,Match Report,
