Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2012-08-17,,Olhanense,2–1,Estoril,,Estádio José Arcanjo,Olegário Benquerença,Match Report,
1,Sat,2012-08-18,,Rio Ave,0–1,Marítimo,,Estádio do Rio Ave Futebol Clube,Hugo Miguel,Match Report,
1,Sat,2012-08-18,,Benfica,2–2,Braga,,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
1,Sun,2012-08-19,,Nacional,2–2,Vitória Setúbal,,Estádio da Madeira,Jorge Ferreira,Match Report,
1,Sun,2012-08-19,,Paços,1–1,Moreirense,,Estádio da Capital do Móvel,Carlos Xistra,Match Report,
1,Sun,2012-08-19,,Gil Vicente,0–0,Porto,,Estádio Cidade de Barcelos,Duarte Gomes,Match Report,
1,Sun,2012-08-19,,Vitória,0–0,Sporting CP,,Estádio Dom Afonso Henriques,João Capela,Match Report,
1,Mon,2012-08-20,,Beira-Mar,3–3,Académica,,Estádio Municipal de Aveiro,Jorge Sousa,Match Report,
2,Fri,2012-08-24,,Académica,1–1,Olhanense,,Estádio EFAPEL,Cosme Machado,Match Report,
2,Sat,2012-08-25,,Porto,4–0,Vitória,,Estádio Do Dragão,Hugo Miguel,Match Report,
2,Sat,2012-08-25,,Braga,3–1,Beira-Mar,,Estádio Municipal de Braga,Paulo Baptista,Match Report,
2,Sun,2012-08-26,,Estoril,1–1,Paços,,Estádio António Coimbra da Mota,Manuel Mota,Match Report,
2,Sun,2012-08-26,,Vitória Setúbal,0–5,Benfica,,Estádio do Bonfim,Jorge Sousa,Match Report,
2,Sun,2012-08-26,,Moreirense,3–1,Nacional,,Parque Desportivo Comendador Joaquim de ...,Pedro Proença,Match Report,
2,Sun,2012-08-26,,Marítimo,0–0,Gil Vicente,,Estádio dos Barreiros,Bruno Paixão,Match Report,
2,Mon,2012-08-27,,Sporting CP,0–1,Rio Ave,,Estádio José Alvalade,Marco Ferreira,Match Report,
3,Sat,2012-09-01,,Vitória,2–2,Estoril,,Estádio Dom Afonso Henriques,Jorge Tavares,Match Report,
3,Sat,2012-09-01,,Olhanense,2–3,Porto,,Estádio Do Algarve,João Ferreira,Match Report,
3,Sun,2012-09-02,,Rio Ave,0–0,Académica,,Estádio do Rio Ave Futebol Clube,Nuno Almeida,Match Report,
3,Sun,2012-09-02,,Gil Vicente,0–0,Vitória Setúbal,,Estádio Cidade de Barcelos,Rui Costa,Match Report,
3,Sun,2012-09-02,,Benfica,3–0,Nacional,,Estádio do Sport Lisboa e Benfica,Bruno Esteves,Match Report,
3,Sun,2012-09-02,,Beira-Mar,1–1,Moreirense,,Estádio Municipal de Aveiro,Vasco Santos,Match Report,
3,Sun,2012-09-02,,Paços,2–0,Braga,,Estádio da Capital do Móvel,Pedro Proença,Match Report,
3,Sun,2012-09-16,,Marítimo,1–1,Sporting CP,,Estádio dos Barreiros,Carlos Xistra,Match Report,
4,Fri,2012-09-21,,Moreirense,0–1,Vitória,,Parque Desportivo Comendador Joaquim de ...,Artur Soares Dias,Match Report,
4,Sat,2012-09-22,,Porto,4–0,Beira-Mar,,Estádio Do Dragão,Manuel Mota,Match Report,
4,Sun,2012-09-23,,Académica,2–2,Benfica,,Estádio EFAPEL,Carlos Xistra,Match Report,
4,Sun,2012-09-23,,Nacional,3–3,Paços,,Estádio da Madeira,João Capela,Match Report,
4,Sun,2012-09-23,,Vitória Setúbal,1–0,Olhanense,,Estádio do Bonfim,Duarte Gomes,Match Report,
4,Sun,2012-09-23,,Braga,4–1,Rio Ave,,Estádio Municipal de Braga,Bruno Paixão,Match Report,
4,Mon,2012-09-24,,Estoril,3–1,Marítimo,,Estádio António Coimbra da Mota,Jorge Sousa,Match Report,
4,Mon,2012-09-24,,Sporting CP,2–1,Gil Vicente,,Estádio José Alvalade,Vasco Santos,Match Report,
5,Fri,2012-09-28,,Paços,1–2,Benfica,,Estádio da Capital do Móvel,Marco Ferreira,Match Report,
5,Fri,2012-09-28,,Vitória,0–2,Braga,,Estádio Dom Afonso Henriques,Paulo Baptista,Match Report,
5,Sat,2012-09-29,,Rio Ave,2–2,Porto,,Estádio do Rio Ave Futebol Clube,Bruno Esteves,Match Report,
5,Sat,2012-09-29,,Sporting CP,2–2,Estoril,,Estádio José Alvalade,Nuno Almeida,Match Report,
5,Sun,2012-09-30,,Olhanense,1–2,Nacional,,Estádio José Arcanjo,Jorge Ferreira,Match Report,
5,Sun,2012-09-30,,Marítimo,0–2,Académica,,Estádio dos Barreiros,Hugo Pacheco,Match Report,
