Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Thu,2018-08-30,18:40,Al-Ettifaq,1–1,Al-Raed,2304,Prince Mohamed bin Fahd Stadium,Mark Clattenburg,Match Report,
1,Thu,2018-08-30,19:05,Al-Hazem,0–0,Al-Wehda,1266,Prince Abdullah bin Abdul Aziz Stadium,,Match Report,
1,Thu,2018-08-30,19:15,Ohod,1–2,Al-Nassr,17794,Prince Mohammed bin Abdul Aziz Stadium,,Match Report,
1,Fri,2018-08-31,18:40,Al-Qadsiah,0–0,Al-Fateh,1637,Prince Saud bin Jalawi Stadium,Mark Clattenburg,Match Report,
1,Fri,2018-08-31,18:55,Al-Shabab,1–0,Al-Ittihad,10675,Prince Faisal bin Fahd Stadium,,Match Report,
1,Fri,2018-08-31,18:55,Al-Hilal,1–0,Al-Fayha,22076,King Saud University Stadium,,Match Report,
1,Fri,2018-08-31,19:00,Al-Faisaly,2–2,Al-Batin,1378,Al Majma'ah Sport City,,Match Report,
1,Sat,2018-09-01,19:20,Al-Ahli,1–1,Al-Taawoun,21970,King Abdullah Sports City,Björn Kuipers,Match Report,
2,Thu,2018-09-13,18:30,Al-Fateh,0–0,Al-Wehda,1437,Prince Abdullah bin Jalawi Stadium,Tasos Sidiropoulos,Match Report,
2,Thu,2018-09-13,18:30,Al-Ettifaq,3–2,Al-Batin,1876,Prince Mohamed bin Fahd Stadium,Mark Clattenburg,Match Report,
2,Thu,2018-09-13,18:50,Al-Hazem,1–1,Al-Taawoun,1155,Prince Abdullah bin Abdul Aziz Stadium,Ivan Bebek,Match Report,
2,Fri,2018-09-14,18:40,Al-Nassr,2–1,Al-Faisaly,12634,Prince Faisal bin Fahd Stadium,Viktor Kassai,Match Report,
2,Fri,2018-09-14,18:45,Al-Fayha,1–3,Al-Shabab,1502,Al Majma'ah Sport City,Simon Evans,Match Report,
2,Fri,2018-09-14,20:30,Ohod,0–2,Al-Ahli,18056,Prince Mohammed bin Abdul Aziz Stadium,Ovidiu Hațegan,Match Report,
2,Sat,2018-09-15,18:50,Al-Raed,1–3,Al-Hilal,6833,Prince Abdullah bin Abdul Aziz Stadium,Artur Soares Dias,Match Report,
2,Sat,2018-09-15,20:45,Al-Ittihad,0–3,Al-Qadsiah,23913,King Abdullah Sports City,Milorad Mažić,Match Report,
3,Wed,2018-09-19,20:20,Al-Qadsiah,0–3,Al-Nassr,9145,Prince Saud bin Jalawi Stadium,Artur Soares Dias,Match Report,
3,Thu,2018-09-20,18:30,Al-Shabab,1–1,Al-Fateh,2552,Prince Faisal bin Fahd Stadium,Paweł Raczkowski,Match Report,
3,Thu,2018-09-20,18:45,Al-Taawoun,5–3,Al-Ittihad,6246,Prince Abdullah bin Abdul Aziz Stadium,Simon Evans,Match Report,
3,Thu,2018-09-20,20:45,Al-Hilal,3–1,Al-Batin,22078,King Saud University Stadium,Damir Skomina,Match Report,
3,Fri,2018-09-21,18:15,Al-Ettifaq,3–0,Al-Fayha,3123,Prince Mohamed bin Fahd Stadium,Pavel Královec,Match Report,
3,Fri,2018-09-21,18:35,Al-Faisaly,2–0,Ohod,815,Al Majma'ah Sport City,Kevin Blom,Match Report,
3,Fri,2018-09-21,20:35,Al-Ahli,2–0,Al-Hazem,41315,King Abdullah Sports City,,Match Report,
3,Sat,2018-09-22,19:00,Al-Wehda,4–1,Al-Raed,17235,King Abdul Aziz Stadium,Mark Clattenburg,Match Report,
4,Mon,2018-09-24,18:10,Al-Fateh,2–3,Al-Hilal,9050,Prince Abdullah bin Jalawi Stadium,Paolo Valeri,Match Report,
4,Mon,2018-09-24,20:10,Al-Nassr,1–0,Al-Taawoun,15631,Prince Faisal bin Fahd Stadium,Damir Skomina,Match Report,
4,Wed,2018-09-26,20:35,Al-Ittihad,2–2,Al-Wehda,35504,King Abdullah Sports City,Cüneyt Çakιr,Match Report,
4,Thu,2018-09-27,18:10,Al-Ettifaq,0–0,Ohod,4200,Prince Mohamed bin Fahd Stadium,,Match Report,
4,Thu,2018-09-27,18:35,Al-Hazem,2–1,Al-Faisaly,1100,Prince Abdullah bin Abdul Aziz Stadium,Damir Skomina,Match Report,
4,Fri,2018-09-28,18:30,Al-Fayha,4–2,Al-Qadsiah,3020,Al Majma'ah Sport City,Szymon Marciniak,Match Report,
4,Fri,2018-09-28,18:35,Al-Raed,1–1,Al-Shabab,2891,Prince Abdullah bin Abdul Aziz Stadium,Simon Evans,Match Report,
4,Sat,2018-09-29,20:35,Al-Ahli,2–0,Al-Batin,13732,King Abdullah Sports City,Ravshan Irmatov,Match Report,
5,Thu,2018-10-04,18:05,Al-Fateh,2–0,Al-Ittihad,6323,Prince Abdullah bin Jalawi Stadium,Simon Evans,Match Report,
5,Thu,2018-10-04,18:20,Al-Fayha,0–3,Al-Raed,2106,Al Majma'ah Sport City,Szymon Marciniak,Match Report,
5,Fri,2018-10-05,18:25,Al-Taawoun,1–1,Al-Shabab,2700,Prince Abdullah bin Abdul Aziz Stadium,Damir Skomina,Match Report,
5,Fri,2018-10-05,18:45,Ohod,0–1,Al-Batin,4704,Prince Mohammed bin Abdul Aziz Stadium,Tomasz Musiał,Match Report,
5,Fri,2018-10-05,18:50,Al-Ahli,2–0,Al-Faisaly,17466,King Abdullah Sports City,Pol van Boekel,Match Report,
5,Fri,2018-10-05,20:40,Al-Nassr,5–1,Al-Hazem,10056,Prince Faisal bin Fahd Stadium,Mark Clattenburg,Match Report,
5,Sat,2018-10-06,18:05,Al-Qadsiah,0–1,Al-Wehda,1700,Prince Saud bin Jalawi Stadium,Pavel Královec,Match Report,
6,Thu,2018-10-18,18:15,Al-Hazem,2–1,Al-Qadsiah,1350,Prince Abdullah bin Abdul Aziz Stadium,Artur Soares Dias,Match Report,
6,Thu,2018-10-18,18:35,Al-Wehda,2–1,Al-Fayha,5391,King Abdul Aziz Stadium,Danny Makkelie,Match Report,
6,Fri,2018-10-19,18:10,Al-Batin,0–2,Al-Nassr,6000,Al-Batin FC Stadium,Szymon Marciniak,Match Report,
6,Fri,2018-10-19,18:10,Al-Faisaly,1–4,Al-Taawoun,1132,Al Majma'ah Sport City,Simon Evans,Match Report,
6,Fri,2018-10-19,18:15,Al-Raed,0–3,Al-Fateh,7901,Prince Abdullah bin Abdul Aziz Stadium,Mark Clattenburg,Match Report,
6,Fri,2018-10-19,20:00,Al-Ittihad,1–1,Ohod,33857,Prince Abdullah al-Faisal Stadium,Viktor Kassai,Match Report,
6,Sat,2018-10-20,17:50,Al-Ettifaq,6–2,Al-Ahli,7901,Prince Mohamed bin Fahd Stadium,Paweł Gil,Match Report,
6,Sat,2018-10-20,19:45,Al-Shabab,0–1,Al-Hilal,6260,Prince Faisal bin Fahd Stadium,Danny Makkelie,Match Report,
7,Wed,2018-10-24,18:05,Al-Faisaly,2–0,Al-Raed,1003,Al Majma'ah Sport City,Szymon Marciniak,Match Report,
7,Thu,2018-10-25,17:40,Al-Ettifaq,1–0,Al-Hazem,4109,Prince Mohamed bin Fahd Stadium,Tiago Martins,Match Report,
7,Thu,2018-10-25,18:30,Al-Ahli,5–1,Al-Fateh,7602,King Abdullah Sports City,Svein Oddvar Moen,Match Report,
7,Thu,2018-10-25,20:30,Al-Hilal,3–1,Al-Ittihad,20562,Prince Faisal bin Fahd Stadium,Viktor Kassai,Match Report,
7,Fri,2018-10-26,18:05,Al-Shabab,2–1,Al-Qadsiah,1235,Prince Faisal bin Fahd Stadium,Simon Evans,Match Report,
7,Fri,2018-10-26,18:10,Al-Batin,0–5,Al-Taawoun,4164,Al-Batin FC Stadium,Fedayi San,Match Report,
7,Fri,2018-10-26,18:25,Ohod,1–3,Al-Wehda,5248,Prince Mohammed bin Abdul Aziz Stadium,Ivan Bebek,Match Report,
7,Fri,2018-10-26,19:45,Al-Fayha,1–1,Al-Nassr,4307,Al Majma'ah Sport City,Milorad Mažić,Match Report,
8,Thu,2018-11-01,17:35,Al-Fateh,1–2,Al-Fayha,2512,Prince Abdullah bin Jalawi Stadium,Erwin Matthijssen,Match Report,
