Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2013-08-17,,Real Sociedad,2–0,Getafe,,Anoeta,Martínez Munuera,Match Report,
1,Sat,2013-08-17,,Valladolid,1–2,Athletic Club,,José Zorrilla,Ayza Gámez,Match Report,
1,Sat,2013-08-17,,Valencia,1–0,Málaga,,Mestalla,Álvarez Izquierdo,Match Report,
1,Sun,2013-08-18,,Real Madrid,2–1,Betis,,Santiago Bernabéu,Gil Manzano,Match Report,
1,Sun,2013-08-18,,Barcelona,7–0,Levante,,Camp Nou,Del Cerro Grande,Match Report,
1,Sun,2013-08-18,,Sevilla,1–3,Atlético Madrid,,Ramón Sánchez Pizjuán,Clos Gómez,Match Report,
1,Sun,2013-08-18,,Osasuna,1–2,Granada,,Reyno de Navarra,González González,Match Report,
1,Mon,2013-08-19,,Rayo Vallecano,3–0,Elche,,Estadio de Vallecas Teresa Rivero,Fernández Borbalán,Match Report,
1,Mon,2013-08-19,,Celta Vigo,2–2,Espanyol,,Balaídos,Teixeira Vitienes,Match Report,
1,Mon,2013-08-19,,Almería,2–3,Villarreal,,Estadio Mediterráneo,Undiano Mallenco,Match Report,
2,Fri,2013-08-23,,Athletic Club,2–0,Osasuna,,Anoeta,Muñiz Fernández,Match Report,
2,Fri,2013-08-23,,Getafe,2–2,Almería,,Coliseum Alfonso Pérez,Hernández Hernández,Match Report,
2,Sat,2013-08-24,,Elche,1–1,Real Sociedad,,Martínez Valero,Pérez Montero,Match Report,
2,Sat,2013-08-24,,Espanyol,3–1,Valencia,,Cornellá - El Prat,Velasco Carballo,Match Report,
2,Sat,2013-08-24,,Villarreal,2–1,Valladolid,,El Madrigal,Gil Manzano,Match Report,
2,Sun,2013-08-25,,Levante,0–0,Sevilla,,Ciutat de Valencia,Teixeira Vitienes,Match Report,
2,Sun,2013-08-25,,Betis,1–2,Celta Vigo,,Benito Villamarín,Prieto Iglesias,Match Report,
2,Sun,2013-08-25,,Málaga,0–1,Barcelona,,La Rosaleda,Mateu Lahoz,Match Report,
2,Sun,2013-08-25,,Atlético Madrid,5–0,Rayo Vallecano,,Vicente Calderón,Iglesias Villanueva,Match Report,
2,Mon,2013-08-26,,Granada,0–1,Real Madrid,,Nuevo Los Cármenes,Estrada Fernández,Match Report,
3,Fri,2013-08-30,,Almería,2–2,Elche,,Estadio Mediterráneo,Álvarez Izquierdo,Match Report,
3,Fri,2013-08-30,,Rayo Vallecano,1–2,Levante,,Estadio de Vallecas Teresa Rivero,Pérez Montero,Match Report,
3,Sat,2013-08-31,,Osasuna,0–3,Villarreal,,Reyno de Navarra,Fernández Borbalán,Match Report,
3,Sat,2013-08-31,,Celta Vigo,1–1,Granada,,Balaídos,Martínez Munuera,Match Report,
3,Sat,2013-08-31,,Valladolid,1–0,Getafe,,José Zorrilla,Undiano Mallenco,Match Report,
3,Sun,2013-09-01,,Real Madrid,3–1,Athletic Club,,Santiago Bernabéu,Clos Gómez,Match Report,
3,Sun,2013-09-01,,Valencia,2–3,Barcelona,,Mestalla,Teixeira Vitienes,Match Report,
3,Sun,2013-09-01,,Espanyol,0–0,Betis,,Cornellá - El Prat,González González,Match Report,
3,Sun,2013-09-01,,Sevilla,2–2,Málaga,,Ramón Sánchez Pizjuán,Del Cerro Grande,Match Report,
3,Sun,2013-09-01,,Real Sociedad,1–2,Atlético Madrid,,Anoeta,Ayza Gámez,Match Report,
4,Sat,2013-09-14,,Barcelona,3–2,Sevilla,,Camp Nou,Muñiz Fernández,Match Report,
4,Sat,2013-09-14,,Levante,0–0,Real Sociedad,,Ciutat de Valencia,Prieto Iglesias,Match Report,
4,Sat,2013-09-14,,Atlético Madrid,4–2,Almería,,Vicente Calderón,González González,Match Report,
4,Sat,2013-09-14,,Villarreal,2–2,Real Madrid,,El Madrigal,Teixeira Vitienes,Match Report,
4,Sun,2013-09-15,,Betis,3–1,Valencia,,Benito Villamarín,Estrada Fernández,Match Report,
4,Sun,2013-09-15,,Málaga,5–0,Rayo Vallecano,,La Rosaleda,Hernández Hernández,Match Report,
4,Sun,2013-09-15,,Getafe,2–1,Osasuna,,Coliseum Alfonso Pérez,Mateu Lahoz,Match Report,
4,Sun,2013-09-15,,Granada,0–1,Espanyol,,Nuevo Los Cármenes,Iglesias Villanueva,Match Report,
4,Mon,2013-09-16,,Athletic Club,3–2,Celta Vigo,,San Mamés,Gil Manzano,Match Report,
4,Mon,2013-09-16,,Elche,0–0,Valladolid,,Martínez Valero,Fernández Borbalán,Match Report,
5,Fri,2013-09-20,,Osasuna,2–1,Elche,,Reyno de Navarra,Del Cerro Grande,Match Report,
5,Sat,2013-09-21,,Real Sociedad,0–0,Málaga,,Anoeta,Teixeira Vitienes,Match Report,
5,Sat,2013-09-21,,Valladolid,0–2,Atlético Madrid,,José Zorrilla,Álvarez Izquierdo,Match Report,
5,Sat,2013-09-21,,Rayo Vallecano,0–4,Barcelona,,Estadio de Vallecas Teresa Rivero,Clos Gómez,Match Report,
5,Sat,2013-09-21,,Almería,2–2,Levante,,Estadio Mediterráneo,Velasco Carballo,Match Report,
5,Sun,2013-09-22,,Betis,0–0,Granada,,Benito Villamarín,Ayza Gámez,Match Report,
5,Sun,2013-09-22,,Real Madrid,4–1,Getafe,,Santiago Bernabéu,Fernández Borbalán,Match Report,
5,Sun,2013-09-22,,Valencia,3–1,Sevilla,,Mestalla,Undiano Mallenco,Match Report,
5,Sun,2013-09-22,,Celta Vigo,0–0,Villarreal,,Balaídos,Pérez Montero,Match Report,
5,Mon,2013-09-23,,Espanyol,3–2,Athletic Club,,Cornellá - El Prat,Martínez Munuera,Match Report,
6,Tue,2013-09-24,,Barcelona,4–1,Real Sociedad,,Camp Nou,Gil Manzano,Match Report,
6,Tue,2013-09-24,,Atlético Madrid,2–1,Osasuna,,Vicente Calderón,Estrada Fernández,Match Report,
