,League,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,Year,Month,Day_n,Game
0,SP,21,Fri,2022-01-21,,Barcelona,,Rayo Vallecano,,Camp Nou,,,Match Postponed,2022,01,21,Barcelona vs Rayo Vallecano
1,SP,25,Fri,2022-02-18,21:00 (23:00),Elche,,Rayo Vallecano,,Estadio Manuel Martínez Valero,,Head-to-Head,,2022,02,18,Elche vs Rayo Vallecano
2,SP,25,Sat,2022-02-19,14:00 (16:00),Granada,,Villarreal,,Estadio Nuevo Los Cármenes,,Head-to-Head,,2022,02,19,Granada vs Villarreal
3,SP,25,Sat,2022-02-19,16:15 (18:15),Osasuna,,Atlético Madrid,,Estadio El Sadar,,Head-to-Head,,2022,02,19,Osasuna vs Atlético Madrid
4,SP,25,Sat,2022-02-19,18:30 (20:30),Cádiz,,Getafe,,Estadio Nuevo Mirandilla,,Head-to-Head,,2022,02,19,Cádiz vs Getafe
5,SP,25,Sat,2022-02-19,21:00 (23:00),Real Madrid,,Alavés,,Estadio Santiago Bernabéu,,Head-to-Head,,2022,02,19,Real Madrid vs Alavés
6,SP,25,Sun,2022-02-20,14:00 (16:00),Espanyol,,Sevilla,,RCDE Stadium,,Head-to-Head,,2022,02,20,Espanyol vs Sevilla
7,SP,25,Sun,2022-02-20,16:15 (18:15),Valencia,,Barcelona,,Estadio de Mestalla,,Head-to-Head,,2022,02,20,Valencia vs Barcelona
8,SP,25,Sun,2022-02-20,18:30 (20:30),Betis,,Mallorca,,Estadio Benito Villamarín,,Head-to-Head,,2022,02,20,Betis vs Mallorca
9,SP,25,Sun,2022-02-20,21:00 (23:00),Athletic Club,,Real Sociedad,,San Mamés,,Head-to-Head,,2022,02,20,Athletic Club vs Real Sociedad
10,SP,25,Mon,2022-02-21,21:00 (23:00),Celta Vigo,,Levante,,Estadio de Balaídos,,Head-to-Head,,2022,02,21,Celta Vigo vs Levante
